8/2/2014	11,124,163	11,215,019	90,857	0.82%
10/18/2014	12,930,184	12,773,988	-156,196	-1.21%
11/24/2014	13,330,155	14,464,376	1,134,221	8.51%
2/20/2015	14,690,248	16,165,463	1,475,216	10.04%
6/16/2015	16,610,136	18,528,774	1,918,637	11.55%
12/11/2015	19,490,443	20,577,269	1,086,826	5.58%
2/13/2016	20,490,447	19,393,040	-1,097,407	-5.36%
7/3/2016	22,540,773	22,390,274	-150,500	-0.67%
12/11/2016	22,849,470	24,221,537	1,372,067	6.00%
6/20/2017	25,849,178	28,935,936	3,086,758	11.94%
